=== TABLES ===
tb_goods_item_stat	regist_date	등록일	datetime	YES	NULL		
tb_goods_item_stat	it_duration	1개월간 통화 시간(초)	int unsigned	YES	0		
tb_goods_items	gd_code	상품 코드	varchar(25)	NO	NULL	PRI	
tb_goods_items	it_code	 아이템 코드 	varchar(25)	NO	NULL	MUL	
tb_goods_items	ce_code	 상담사 코드 	varchar(25)	NO	NULL	MUL	
tb_goods_items	st_code	 사이�mp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_goods_items	image_flag	이미지 첨부 기능 사용여부	enum('Y','N')	YES	N		
tb_goods_items	regist_type		varchar(10)	YES	NULL		
tb_goods_items	gd_cmt_cnt	아이템 추천 후기 수	int unsigned	YES	0		
tb_goods_items	gd_cmt_re_cnt	아이템 추천 후기 답변 수	int unsigned	YES	0		
tb_goods_items	gd_ask_cnt	아이템 추천 후기 수	int unsigned	YES	0		
tb_goods_items	gd_ask_re_cnt	아이템 추천 후기 답변 수	int unsigned	YES	0		
tb_goods_items	gd_like_cnt	아이템 관심 등록 수	int unsigned	YES	0		
tb_goods_items	gd_cm_point	아이템 후기 포인트	int unsigned	YES	0		
tb_goods_items	gd_point_cnt	아이템 포인트 부여 개수	int unsigned	YES	0		
tb_goods_items	gd_sort_point	아이템 소팅 점수	int unsigned	YES	0		
tb_goods_items	gd_new	아이템이 신규인지 아닌지 	enum('Y','N')	YES	N		
tb_goods_items	m1_cm_cnt	최근1개월 후기 개수	int unsigned	YES	0		
tb_goods_items	m1_cm_point	최근1개월 후기 포인트	int unsigned	YES	0		
tb_goods_items	m3_cm_cnt	최근3개월 후기 개수	int unsigned	YES	0		
tb_goods_items	m3_cm_point	최근3개월 후기 포인트	int unsigned	YES	0		
tb_goods_items	w1_cm_cnt	1주간 후기 수	int unsigned	YES	0		
tb_goods_items	w1_cm_point	1주간 별점	int unsigned	YES	0		
tb_goods_items	win_point	지난주 별점 우승자	tinyint unsigned	YES	0		
tb_goods_items	win_comment	지난주 후기 우승자	tinyint unsigned	YES	0		
tb_goods_items	m3_cm_re_cnt	최근 3개월 상담사 답변	int unsigned	YES	0		
tb_goods_items	w1_cm_point5	1주간 별점 5개 받은수	int unsigned	YES	0		
tb_goods_items	m1_cm_point5	최근 1개월 후기 포인트 5개 받은수	int unsigned	YES	0		
tb_goods_items	m3_cm_point5	최근 3개월 후기 포인트 5개 받은수	int unsigned	YES	0		
tb_goods_items	gd_cm_point5	누적 후기 포인트 5개 받은 수	int unsigned	YES	NULL		
tb_goods_items	win_point5	지난주 후기포인트 5점 우승자	tinyint	YES	0		
tb_goods_items	gd_suggest	추천아이템여부	enum('Y','N')	YES	N		
tb_goods_items	gd_view_cnt	조회수	int	YES	NULL		
tb_goods_items	gd_main_pic	아이템 대표사진	varchar(500)	YES	NULL		
tb_goods_items	gd_service_pic	서비스 소개 이미지	varchar(200)	YES	NULL		
tb_goods_items	gd_counsel_field	상담분야 태크 카운팅	mediumtext	YES	NULL		
tb_goods_items	gd_counsel_field_search	검색용 상담분야 태그 카운팅 제일높은 2 or 3개 	varchar(150)	YES	NULL		
tb_goods_items	release_date	승인완료일	timestamp	YES	NULL		
tb_goods_items	option_use	옵션사용여부	enum('Y','N')	YES	N		
tb_goods_items	gd_class_period	수업기간 % 로 구분	varchar(100)	YES	NULL		
tb_goods_items	total_call_time	총 전화시간 (분)	smallint	YES	NULL		
tb_goods_items	gd_class_intro	수업 안내	varchar(255)	YES	NULL		
tb_goods_items	gd_tag	상품 태그	varchar(100)	YES	NULL		
tb_goods_items	gd_content_field	상담사 컨텐츠 (클래스)	mediumtext	YES	NULL		
tb_goods_items	gd_addr_use	주소입력 사용여부	enum('Y','N')	YES	N		
tb_goods_items	gd_sub_pic	아이템 서브사진	mediumtext	YES	NULL		
tb_goods_items	people_flag	수업인원종류	varchar(10)	YES	NULL		
tb_goods_items	min_people	클래스 최소인원	smallint	YES	NULL		
tb_goods_items	max_people	클래스 최대인원	smallint	YES	NULL		
tb_goods_items	main_recommend	메인 추천 분류(전문가, 원데이)	enum('expert','oneday')	NO	expert		
tb_goods_items	people_number	인원수 제한여부	enum('unlimit','limit')	YES	NULL		
tb_goods_items	limit_people	인원수	smallint	YES	NULL		
tb_goods_items	people_use	최소, 최대인원 사용여부	enum('Y','N')	YES	N		
tb_goods_items	recruit_period	모집기간 사용여부	enum('unlimit','limit')	YES	NULL		
tb_goods_items	rec_start_time	모집기간 시작일	date	YES	NULL		
tb_goods_items	rec_enddate	모집기간 종료일	date	YES	NULL		
tb_goods_items_regist	gr_no		int	NO	NULL	PRI	auto_increment
tb_goods_items_regist	gd_code	상품 코드	varchar(25)	YES	NULL		
tb_goods_items_regist	it_code	 아이템 코드 	varchar(25)	NO	NULL	MUL	
tb_goods_items_regist	ce_code	 상담사 코드 	varchar(25)	NO	NULL	MUL	
tb_goods_items_regist	st_code	 사이트 코드 	varchar(25)	NO	NULL		
tb_goods_items_regist	it_nick	상담사 닉네임	varchar(30)	YES	NULL		
tb_goods_items_regist	gd_category_code	 상품 카테고리 	varchar(20)	NO		MUL	
tb_goods_items_regist	gd_category_name	 상품 카토고리이름	varchar(100)	YES	NULL		
tb_goods_items_regist	gd_subject	상품명	varchar(60)	YES	NULL		
tb_goods_items_regist	gd_desc	상품설명	varchar(400)	YES	NULL		
tb_goods_items_regist	gd_longdesc	상품상세설명	mediumtext	YES	NULL		
tb_goods_items_regist	gd_price	 상품 가격 	int unsigned	YES	NULL		
tb_goods_items_regist	gd_provider	 상품 제공방법 	varchar(20)	NO	NULL		
tb_goods_items_regist	gd_working_period	작업기간	varchar(100)	YES	NULL		
tb_goods_items_regist	gd_subscription	신청정보	mediumtext	YES	NULL		
tb_goods_items_regist	gd_view	 노출 여부 	enum('Y','N')	NO	N		
tb_goods_items_regist	gd_status	'0' => '승인대기','1' =>'승인보류','2' => '승인완료','3' => '승인불가','4' => '이용중지','5' => '본인삭제','6' => '강제삭제'	tinyint	YES	NULL		
tb_goods_items_regist	gd_status_reason	수정요청, 심사거절 이유	varchar(200)	YES	NULL		
tb_goods_items_regist	gd_direction	구매자 지시사항	varchar(300)	YES	NULL		
tb_goods_items_regist	seller_rule	 판매자 규정	varchar(500)	YES	NULL		
tb_goods_items_regist	regist_id	등록자아이디	varchar(25)	YES	NULL		
tb_goods_items_regist	regist_type	등록타입 (tb_goods_items 와 tb_goods_items_regist를 union 했을때 regist 테이블에서 가져온 값인지 구분	varchar(20)	YES	regist		
tb_goods_items_regist	regist_date	 등록일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_goods_items_regist	last_update_date	 최근수정일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_goods_items_regist	rejected_date	심사거절 일시	timestamp	YES	NULL		
tb_goods_items_regist	image_flag	이미지 첨부 사용 여부	enum('Y','N')	YES	N		
tb_goods_items_regist	gd_main_pic	아이템 대표사진	varchar(200)	YES	NULL		
tb_goods_items_regist	gd_service_pic	서비스소개 이미지	varchar(200)	YES	NULL		
tb_goods_items_regist	isUpdate	 상품 수정 여부, Y=수정, N=새상품등록	enum('Y','N')	YES	N		
tb_goods_items_regist_temp	gr_no		int	NO	NULL	PRI	auto_increment
tb_goods_items_regist_temp	gd_code	상품 코드	varchar(25)	NO	NULL	MUL	
tb_goods_items_regist_temp	it_nick	상담사 닉네임	varchar(30)	YES	NULL		
tb_goods_items_regist_temp	gd_category_code	 상품 카테고리 	varchar(20)	YES		MUL	
tb_goods_items_regist_temp	gd_category_name	 상품 카토고리이름	varchar(100)	YES	NULL		
tb_goods_items_regist_temp	gd_subject	상품명	varchar(60)	YES	NULL		
tb_goods_items_regist_temp	gd_desc	상품설명	varchar(400)	YES	NULL		
tb_goods_items_regist_temp	gd_longdesc	상품상세설명	mediumtext	YES	NULL		
tb_goods_items_regist_temp	gd_price	 상품 가격 	int unsigned	YES	NULL		
tb_goods_items_regist_temp	gd_stock_unlimit	무제한판매여부	enum('Y','N')	YES	NULL		
tb_goods_items_regist_temp	gd_stock	재고	int	YES	NULL		
tb_goods_items_regist_temp	gd_provider	 상품 제공방법 	varchar(20)	YES	NULL		
tb_goods_items_regist_temp	gd_working_period	작업기간	varchar(100)	YES	NULL		
tb_goods_items_regist_temp	gd_subscription	신청정보	mediumtext	YES	NULL		
tb_goods_items_regist_temp	gd_direction	구매자 지시사항	varchar(300)	YES	NULL		
tb_goods_items_regist_temp	seller_rule	 판매자 규정	varchar(500)	YES	NULL		
tb_goods_items_regist_temp	regist_date	 등록일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_goods_items_regist_temp	last_update_date	 최근수정일 	timestamp	NO	CURRENT_TIMESTAMP	PRI	DEFAULT_GENERATED
tb_goods_items_regist_temp	sub_faq_ids	faq question json 형태로 저장	mediumtext	YES	NULL		
tb_goods_items_regist_temp	fa_answer	faq answer json 형태로 저장	mediumtext	YES	NULL		
tb_goods_items_regist_temp	gd_class_period	수업기간	varchar(100)	YES	NULL		
tb_goods_items_regist_temp	total_call_time	총 전화시간	smallint	YES	NULL		
tb_goods_items_regist_temp	gd_class_intro	수업안내	varchar(255)	YES	NULL		
tb_goods_opt	opt_no	시퀀스	int unsigned	NO	NULL	PRI	auto_increment
tb_goods_opt	gd_code	상품 코드	varchar(25)	NO	NULL	MUL	
tb_goods_opt	gd_optname	옵션명	varchar(60)	NO	NULL		
tb_goods_opt	gd_stock_unlimit	무제한판매여부	enum('Y','N')	YES	Y		
tb_goods_opt	gd_stock	상품 재고	int unsigned	YES	0		
tb_goods_opt	gd_price	 상품 가격 	int unsigned	YES	NULL		
tb_goods_opt	gd_working_period	작업기간	varchar(100)	YES	NULL		
tb_goods_opt	gd_index	 정렬순서	smallint	YES	NULL		
tb_goods_opt	regist_date	 등록일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_goods_opt	last_update_date	 최근수정일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_goods_opt	opt_live	사용여부 Y:사용, N:삭제	enum('Y','N')	YES	Y		
tb_goods_order	od_code	 결제코드 	varchar(25)	NO	NULL	PRI	
tb_goods_order	st_code	 사이트 코드 	varchar(25)	NO	NULL		
tb_goods_order	ac_no	 계정번호 	int unsigned	NO	NULL		
tb_goods_order	pd_code	 상품 코드 : get_pdcode 함수 호출로 입력 	varchar(25)	NO	NULL		
tb_goods_order	cr_code	 회원코드 	varchar(25)	YES	NULL	MUL	
tb_goods_order	ac_id	 계정 아이디 	varchar(256)	YES	NULL	MUL	
tb_goods_order	ac_nick		varchar(25)	YES	NULL		
tb_goods_order	cr_phone		varchar(25)	YES	NULL		
tb_goods_order	pd_type	 상품구분 : goods: 상품	varchar(20)	NO	charge		
tb_goods_order	pd_genre	상품 장르 : 작명:name, 서비스상품:service, 클래스:class	varchar(10)	YES	name		
tb_goods_order	pd_name	 상품 명 	varchar(125)	YES	NULL		
tb_goods_order	pd_price	 상품가격 : VAT 포함 	int unsigned	YES	NULL		
tb_goods_order	pd_coin	 충전코인 	int unsigned	YES	NULL		
tb_goods_order	cu_code	 쿠폰 코드 : func_get_cu_code로 생성 	varchar(25)	YES	NULL		
tb_goods_order	cui_code	 쿠폰 사용 코드 : func_get_cui_code 함수를 이용하여 추출 	varchar(50)	YES	NULL		
tb_goods_order	od_dc_amount	 쿠폰 결제 금액 	int unsigned	NO	0		
tb_goods_order	od_pay_amount	 결제금액 	int unsigned	NO	0		
tb_goods_order	od_refund_amount	 환불금액 	int	NO	0		
tb_goods_order	od_pay_method	 결제방법 	varchar(20)	YES	NULL		
tb_goods_order	od_card_quota	 카드-할부개월 	tinyint unsigned	NO	0		
tb_goods_order	od_card_bank	 카드-카드종류 	varchar(20)	YES	NULL		
tb_goods_order	od_va_bank	 가상계좌-입금은행 	varchar(50)	YES	NULL		
tb_goods_order	od_va_account	 가상계좌-계좌번호 	varchar(50)	YES	NULL		
tb_goods_order	od_va_date	 가상계좌-입금마감시간 	timestamp	YES	NULL		
tb_goods_order	od_va_depositor	 가상계좌-실입금자명 	varchar(50)	YES	NULL		
tb_goods_order	od_va_result	 가상계좌-입금결과코드 	varchar(25)	YES	NULL		
tb_goods_order	od_va_fdate	 가상계좌-입금완료시간 	timestamp	YES	NULL		
tb_goods_order	od_ma_depositor	 무통장-입금자명 	varchar(50)	YES	NULL		
tb_goods_order	od_ma_info	 무통장-입금자연락처 	varchar(50)	YES	NULL		
tb_goods_order	od_ma_status	 무통장-입금완료여부 	enum('Y','N')	NO	N		
tb_goods_order	od_ma_date	 무통장-입금마감시간 	timestamp	YES	NULL		
tb_goods_order	od_ma_fdate	 무통장-입금확인시간 	timestamp	YES	NULL		
tb_goods_order	od_tid	 PG사 TID : PG사의 트랜젝션 아이디 	varchar(125)	YES	NULL		
tb_goods_order	od_status	 결제 상태 : ready=입금대기,paid=입금완료,cancelled=환불,failed=실패  	enum('ready','paid','cancelled','failed','part_refund')	NO	ready		
tb_goods_order	od_chk_status	  	varchar(20)	YES	NULL		
tb_goods_order	od_pay_result	 결제 결과 코드 	varchar(125)	YES	NULL		
tb_goods_order	od_pay_msg	 결제 결과 메시지 	varchar(1000)	YES	NULL		
tb_goods_order	od_income	 입금금액 	int unsigned	NO	0		
tb_goods_order	regist_id	 등록자 아이디 : 상담사=상담사코드, 회원=회원코드, 관리자=관리자 코드, 시스템=system 	varchar(25)	YES	NULL		
tb_goods_order	regist_type	 등록자 타입 : caller,callee,admin,system,060 	varchar(20)	YES	NULL		
tb_goods_order	regist_date	 등록일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_goods_order	last_update_date	 최근수정일 	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_goods_order	pg_id	 PG 아이디 	varchar(1000)	YES	NULL		
tb_goods_order	od_refund_date	 환불 날짜 	timestamp	YES	NULL		
tb_goods_order	refund_id	 환불한 관리자 메일 	varchar(256)	YES	NULL		
tb_goods_order	od_pay_key	 옵션: 결제 완료 키 	varchar(256)	YES	NULL		
tb_goods_order	rv_no	 예약상담 인덱스 	varchar(1000)	YES	NULL		
tb_goods_order	ori_od_code	 환불시 원본 오더코드 	varchar(35)	YES	NULL		
tb_goods_order	od_phone_id	 핸드폰 결제 아이디 	varchar(100)	YES	NULL		
tb_goods_order	od_pg_code	 pg_code 	varchar(100)	YES	NULL		
tb_goods_order	od_country_code	결제한 국가코드	varchar(4)	NO	kr		
tb_goods_order	od_qty	구매 수량	int	YES	NULL		
tb_goods_order	gd_optname	옵션선택시 옵션명	varchar(60)	YES	NULL		
tb_goods_order	opt_no	옵션시 옵션 넘버	int	YES	NULL		
tb_goods_order	cm_write	해당상품에 대한 후기 등록여부	enum('Y','N')	YES	N		
tb_goods_order	od_device	디바이스구분	varchar(10)	YES	NULL		
tb_goods_sell	gs_no	 시퀀스 	int unsigned	NO	NULL	PRI	auto_increment
tb_goods_sell	od_code	 주문번호	varchar(25)	YES	NULL	UNI	
tb_goods_sell	ce_code	 상담사 코드 	varchar(25)	NO	NULL	MUL	
tb_goods_sell	it_code	 아이템 코드 	varchar(25)	YES	NULL		
tb_goods_sell	gd_code	 상품 코드 	varchar(25)	YES	NULL		
tb_goods_sell	gd_genre	상품장르(작명,서비스,클래스)	varchar(20)	YES	NULL		
tb_goods_sell	category	 상품카테고리	varchar(40)	YES	NULL		
tb_goods_sell	it_nick	스토어 닉네임	varchar(20)	YES	NULL		
tb_goods_sell	ac_id	 계정 아이디 	varchar(256)	YES	NULL		
tb_goods_sell	ac_nick	회원 닉네임	varchar(25)	YES	NULL		
tb_goods_sell	cr_phone	회원 휴대폰	varchar(20)	YES	NULL		
tb_goods_sell	cr_code	 회원 코드 	varchar(25)	YES	NULL	MUL	
tb_goods_sell	gd_subject	 상품명 	varchar(255)	YES	NULL		
tb_goods_sell	gd_price	 단위 상품 가격 	int unsigned	YES	NULL		
tb_goods_sell	gd_qty	 상품 수량 	int unsigned	YES	1		
tb_goods_sell	gd_sum_price	 총 가격	int	YES	NULL		
tb_goods_sell	gs_status	상담사작업 진행상태 0: 대기중, 1: 작업중, 2: 완료, 3: 구매확정, 4: 구매취소	int	NO	0		
tb_goods_sell	gd_direction	구매자 지시사항	varchar(300)	YES	NULL		
tb_goods_sell	gd_subscription	견적 상세정보	text	YES	NULL		
tb_goods_sell	gd_request	상품 신청정보	text	YES	NULL		
tb_goods_sell	gd_provider	 상품 제공방법	varchar(20)	NO	NULL		
tb_goods_sell	gd_working_period	 작업기간	varchar(100)	YES	NULL		
tb_goods_sell	buy_date	구매날짜	timestamp	YES	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_goods_sell	complete_date	작업 완료날짜	timestamp	YES	NULL		
tb_goods_sell	receive_date	접수일	timestamp	YES	NULL		
tb_goods_sell	confirm_date	구매확정일	timestamp	YES	NULL		
tb_goods_sell	will_finish_date	마감예정일	date	YES	NULL		
tb_goods_sell	auto_buy_date	 자동 구매 확정일	date	YES	NULL		
tb_goods_sell	quote_date	 견적일자	timestamp	YES	NULL		
tb_goods_sell	cancel_date	취소했을때 취소날짜	timestamp	YES	NULL		
tb_goods_sell	request_img_name	손님 주문시 자료파일명	varchar(150)	YES	NULL		
tb_goods_sell	request_img_file	손님 주문시 자료파일	varchar(300)	YES	NULL		
tb_goods_sell	goods_result_name	상담사 작업결과 파일명	varchar(1000)	YES	NULL		
tb_goods_sell	goods_result	상담사 작업결과파일	varchar(300)	YES	NULL		
tb_goods_sell	is_quote	상담사가 견적서 제출한경우인지 여부	enum('Y','N')	YES	NULL		
tb_goods_sell	custom_see	주문자가 내역 확인했는지 여부	enum('Y','N')	YES	Y		
tb_goods_sell	messageId	채팅 메세지 아이디	varchar(20)	YES	NULL		
tb_goods_sell	gd_memo	상당사가 내담자에게 보내는 메모	varchar(500)	YES	NULL		
tb_goods_sell	gd_optname	옵션 구매시 옵션명	varchar(60)	YES	NULL		
tb_goods_sell	opt_no	옵션 상품 NO	int	YES	NULL		
tb_goods_sell	call_enable	상담원 status on: 상담가능, off: 상담불가	varchar(20)	YES	off		
tb_goods_sell	ca_id	상담콜 ca_id	varchar(10000)	YES	NULL		
tb_goods_sell	start_date	 작업시작일	date	YES	NULL		
tb_goods_sell	gs_addr_default	기본주소 사용여부	enum('Y','N')	YES	N		
tb_goods_sell	gs_zipcode	배송지 우편번호	varchar(20)	YES	NULL		
tb_goods_sell	gs_addr1	배송지 주소	varchar(255)	YES	NULL		
tb_goods_sell	gs_addr2	배송지 상세주소	varchar(255)	YES	NULL		
tb_grouplist_callee	ce_no		int unsigned	NO	NULL	PRI	auto_increment
tb_grouplist_callee	gp_code	그룹리스트 :: tb_grouplist_opt 참조	varchar(25)	NO	NULL	MUL	
tb_grouplist_callee	ce_code	상담사코드	varchar(25)	NO	NULL		
tb_grouplist_callee	ce_nick	상담사닉네임	varchar(25)	NO	NULL	MUL	
tb_grouplist_callee	item_code	아이템코드	varchar(25)	NO	NULL	MUL	
tb_grouplist_callee	st_code	사이트	varchar(25)	NO	hongcafe		
tb_grouplist_callee	gp_use		enum('ON','OFF')	NO	ON		
tb_grouplist_callee	regist_date	등록일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_grouplist_callee	item_flag	아이템구분	varchar(10)	YES	call		
tb_grouplist_opt	opt_no		int unsigned	NO	NULL	PRI	auto_increment
tb_grouplist_opt	bn_no	배너 코드	int unsigned	NO	NULL	MUL	
tb_grouplist_opt	gp_code	그룹리스트 유니크 코드	varchar(25)	NO	NULL	UNI	
tb_grouplist_opt	opt_subject	그룹 이름	varchar(255)	NO	NULL	MUL	
tb_grouplist_opt	gpt_main	그룹 메인 이미지	varchar(255)	YES	NULL		
tb_grouplist_opt	gpt_banner	그룹 페이지 이미지	varchar(255)	NO	NULL		
tb_grouplist_opt	gpt_uem_notice	ce_code	상담사코드	varchar(25)	YES	NULL	MUL	
tb_item_price	itp_no		int	NO	NULL	PRI	auto_increment
tb_item_price	st_code		varchar(15)	NO	hongcafe		
tb_item_price	ce_level	상담사 등급 : 0=화이트,1=옐로우,2=그린,3=블루,4=오렌지,5=레드,6=퍼플,-99=타사이용	tinyint	NO	0	MUL	
tb_item_price	itp_coin_price	코인 상담 가격	int unsigned	NO	0		
tb_item_price	itp_060_price	060 상담 가격	int unsigned	NO	0		
tb_item_price	regist_date	등록일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_item_price	last_update_date	최종 수정일	timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_item_price_history	itph_no	가격 등록 번호	int unsigned	NO	NULL	PRI	auto_increment
tb_item_price_history	it_code	아이템 코드	varchar(25)	NO	NULL		
tb_item_price_history	ce_code	상담사 코드	varchar(25)	NO	NULL		
tb_item_price_history	st_code	사이트 코드	varchar(25)	NO	NULL	MUL	
tb_item_price_history	itp_code	아이템 가격 코드 : func_get_item_price 로 추출	varchar(25)	YES	NULL		
tb_item_price_history	itp_coin_price	아이템 선불 가격	int unsigned	YES	NULL		
tb_item_price_history	itp_060_price	아이템 후불 가격	int unsigned	YES	NULL		
tb_item_price_history	itp_term	아이템 가격단위 : 가격의 기준이 되는 초를 입력한다 예 : 30 = 30초당	int unsigned	YES	NULL		
tb_item_price_history	it_coin_ftype	아이템 코인통화 정산타입	enum('fee','ratio')	NO	fee		
tb_item_price_history	it_060_ftype	아이템 060통화 정산타입	enum('fee','ratio')	NO	fee		
tb_item_price_history	it_coin_ratio	아이템 코인통화 수수료율	int	NO	0		
tb_item_price_history	it_coin_fee	아이템 코인통화 월수수료	int	NO	0		
tb_item_price_history	it_060_ratio	아이템 060통화 수수료율	int	NO	0		
tb_item_price_history	it_060_fee	아이템 060통화 월수수료	int	NO	0		
tb_item_price_history	is_used	현재 적용 여부	enum('y','n')	NO	y		
tb_item_price_history	finance_month	적용시작일 YYYY-MM	varchar(10)	NO	NULL	MUL	
tb_item_price_history	admin_memo	관리자 메모	mediumtext	YES	NULL		
tb_item_price_history	regist_id	등록자 아이디 : 상담사=상담사코드, 회원=회원코드, 관리자=관리자 코드, 시스템=system	varchar(25)	YES	NULL		
tb_item_price_history	regist_type	등록자 타입 : caller,callee,admin,system,060	varchar(20)	YES	NULL		
tb_item_price_history	regist_date	등록일	datetime	YES	NULL		
tb_item_price_history	last_update_date	최근수정일	datetime	YES	NULL		
tb_item_price_log	itp_id		int unsigned	NO	NULL	PRI	auto_increment
tb_item_price_log	ce_code	상담사 코드	varchar(25)	YES	NULL	MUL	
tb_item_price_log	st_code	사이트 코드	varchar(25)	YES	NULL		
tb_item_price_log	itp_code	아이템 가격 코드 : func_get_item_price 로 추출	varchar(25)	YES	NULL		
tb_item_price_log	itp_old_coin_price	변경전 가격	int	YES	NULL		
tb_item_price_log	itp_coin_price	아이템 선불 가격	int unsigned	YES	NULL		
tb_item_price_log	itp_term	아이템 가격단위 : 가격의 기준이 되는 초를 입력한다 예 : 30 = 30초당	int unsigned	YES	NULL		
tb_item_price_log	regist_id	등록자 아이디 : 상담사=상담사코드, 회원=회원코드, 관리자=관리자 코드, 시스템=system	varchar(512)	YES	NULL		
tb_item_price_log	regist_type	등록자 타입 : caller,callee,admin,system	varchar(20)	YES	NULL		
tb_item_price_log	regist_date	등록일	datetime	YES	NULL		
tb_item_regist	itr_no		int	NO	NULL	PRI	auto_increment
tb_item_regist	ac_id	계정 id	varchar(45)	NO	NULL	MUL	
tb_item_regist	it_nick	아이템 닉네임	varchar(45)	NO	NULL		
tb_item_regist	it_category_code	카테고리 코드, tarot: 타로, saju: 사주, fortune: 신점	varchar(25)	NO	NULL		
tb_item_regist	it_category_name	카테고리 이름	varchar(25)	NO	NULL		
tb_item_regist	it_connect_number	상담사 연결 번호	varchar(25)	NO	NULL		
tb_item_regist	it_coin_price	코인 상담 가격	int unsigned	NO	NULL		
tb_item_regist	it_060_price	060 상담 가격	int unsigned	NO	NULL		
tb_item_regist	it_subject	아이템 한줄소개(제목, 최대 20자)	varchar(25)	NO	NULL		
tb_item_regist	it_desc	아이템 상세소개 (최대 200자)	varchar(255)	NO	NULL		
tb_item_regist	faq_ids	faq 아이디, 1개 필수 등록, 최대 3개 등록가능, json형식	varchar(25)	YES	NULL		
tb_item_regist	faq_answers	faq답변, 1개 필수 등록, 최대 3개 등록가능, json형식	mediumtext	YES	NULL		
tb_item_regist	it_main_pic	상담사 메인 이미지(sns이미지, 닉네임아이콘,급상승 이미지 겸용)	varchar(125)	NO	NULL		
tb_item_regist	it_images	상담사 서브 이미지(프로필 상세 페이지 롤링)	varchar(512)	YES	NULL		
tb_item_regist	regist_status	상담사 등록 현황,  0: 심사중, 1: 심사보류(수정요청),  2: 심사완료, 3: 등록거절	tinyint(1)	NO	0		
tb_item_regist	regist_status_reason	심사보류, 거절일 경우 사유	mediumtext	YES	NULL		
tb_item_regist	regist_date		timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_item_regist	last_update_date		timestamp	NO	CURRENT_TIMESTAMP		DEFAULT_GENERATED
tb_item_regist	regist_type	등록자 타입, callee, athena	varchar(25)	NO	NULL		
tb_item_stat	i_no	공지사항 번호	int unsigned	NO	NULL	PRI	auto_increment
tb_item_stat	st_code	사이트 코드	varchar(25)	NO	NULL		
tb_item_stat	it_code	아이템 코드	varchar(25)	NO	NULL	MUL	
tb_item_stat	it_nick	아이템 닉네임	varchar(125)	YES	NULL		
tb_item_stat	m1_cm_cnt	최근 1개월 후기 개수	int unsigned	NO	0		
tb_item_stat	m1_cm_point	최근 1개월 후기 포인트	int unsigned	NO	0		
tb_item_stat	m1_cm_point5	최근 1개월 후기 5점 받은 갯수	int unsigned	NO	0		
tb_item_stat	log_month	로그 데이터	varchar(20)	NO	NULL		
tb_item_stat	regist_date	등록일	datetime	YES	NULL		
tb_item_stat	it_duration	1개월간 통화 시간(초)	int unsigned	YES	0		
tb_item_stat	ce_code	상담사코드	varchar(25)	YES	NULL		
tb_item_stat	ch_code	채팅아이템코드	varchar(25)	YES	NULL		
tb_item_stat	vc_code	비디오아이템코드	varchar(25)	YES	NULL		
tb_item_stat	ch_duration	1개월간 채팅상담시간(초)	int	YES	0		
tb_item_stat_all	i_no	공지사항 번호	int unsigned	NO	NULL	PRI	auto_increment
tb_item_stat_all	st_code	사이트 코드	varchar(25)	NO	NULL		
tb_item_stat_all	it_code	아이템 코드	varchar(25)	NO	NULL		
tb_item_stat_all	it_nick	아이템 닉네임	varchar(125)	YES	NULL		
tb_item_stat_all	m1_cm_cnt	최근 1개월 후기 개수	int unsigned	NO	0		
tb_item_stat_all	m1_cm_point	최근 1개월 후기 포인트	int unsigned	NO	0		
tb_item_stat_all	log_month	로그 데이터	varchar(20)	NO	NULL		
tb_item_stat_all	regist_date	등록일	datetime	YES	NULL		
tb_item_stat_all	it_duration	1개월간 통화 시간(초)	int unsigned	YES	0		
tb_items	it_code	 아이템 코드 	varchar(25)	NO	NULL	PRI	
tb_items	ce_code	 상담사 코드 	varchar(25)	NO	NULL	MUL	
tb_items	st_code	 사이트 코드 	varchar(25)	NO	NULL		
tb_items	it_sort	 아이템 노출순위 	int unsigned	YES	NULL		
tb_items	it_cmt_cnt	 아이템 추천 후기 수 	int unsigned	NO	0		
tb_items	it_cmt_re_cnt	 아이템 추천 후기 답변 수 	int unsigned	NO	0		
tb_items	it_ask_cnt	 아이템 문의사항 수 	int unsigned	NO	0		
tb_items	it_ask_re_cnt	 아이템 문의사항 답변 수 	int unsigned	NO	0		
tb_items	it_like_cnt	 아이템 관심콜리 등록 수 	int unsigned	NO	0		
